date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:24	16889/16889	---M-Z	200	added ('OK')	text/html	etag:%2241f9-607160e0-35541c4fb1f85e50;gz%22	https://codedchalk.com/	D:/codedchalk/codedchalk.com/index.html	(from )
13:50:24	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2008:20:07%20GMT	https://codedchalk.com/robots.txt		(from )
13:50:24	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-60685e3a-b7a09241639e2c49;gz%22	https://codedchalk.com/favicon.ico	D:/codedchalk/codedchalk.com/favicon.ico	(from https://codedchalk.com/)
13:50:25	58371/58371	---M-Z	200	added ('OK')	text/css	etag:%22e403-60852c04-16af30717c8e94ce;gz%22	https://codedchalk.com/style.css	D:/codedchalk/codedchalk.com/style.css	(from https://codedchalk.com/)
13:50:25	22004/22004	---M-Z	200	added ('OK')	text/css	etag:%2255f4-60685e3a-97e3bdff191fa2c;gz%22	https://codedchalk.com/css/font-awesome.min.css	D:/codedchalk/codedchalk.com/css/font-awesome.min.css	(from https://codedchalk.com/)
13:50:25	16889/16889	---M-Z	200	added ('OK')	text/html	etag:%2241f9-607160e0-35541c4fb1f85e50;gz%22	https://codedchalk.com/index.html	D:/codedchalk/codedchalk.com/index-2.html	(from https://codedchalk.com/)
13:50:26	17129/17129	---M-Z	200	added ('OK')	text/html	etag:%2242e9-60892997-ad7ae2ce0845a9c3;gz%22	https://codedchalk.com/courses.html	D:/codedchalk/codedchalk.com/courses.html	(from https://codedchalk.com/)
13:50:26	11167/11167	---M-Z	200	added ('OK')	text/html	etag:%222b9f-60709334-71db5ebf85c1ca7f;gz%22	https://codedchalk.com/about.html	D:/codedchalk/codedchalk.com/about.html	(from https://codedchalk.com/)
13:50:26	12953/12953	---M-Z	200	added ('OK')	text/html	etag:%223299-608a9cb3-52a1bc5f145acde2;gz%22	https://codedchalk.com/contact.html	D:/codedchalk/codedchalk.com/contact.html	(from https://codedchalk.com/)
13:50:26	19664/19664	---M-Z	200	added ('OK')	text/html	etag:%224cd0-608a9ca1-4e027c73c82ef26c;gz%22	https://codedchalk.com/angular.html	D:/codedchalk/codedchalk.com/angular.html	(from https://codedchalk.com/)
13:50:27	26559/26559	---M-Z	200	added ('OK')	text/html	etag:%2267bf-608a9d69-bba2b935dc78d20d;gz%22	https://codedchalk.com/uiandux.html	D:/codedchalk/codedchalk.com/uiandux.html	(from https://codedchalk.com/)
13:50:27	19823/19823	---M-Z	200	added ('OK')	text/html	etag:%224d6f-608a9d45-ba2d227d0fd386f9;gz%22	https://codedchalk.com/reactjs.html	D:/codedchalk/codedchalk.com/reactjs.html	(from https://codedchalk.com/)
13:50:27	19124/19124	---M-Z	200	added ('OK')	text/html	etag:%224ab4-608a9d1c-a003d3ebc88437cb;gz%22	https://codedchalk.com/ios.html	D:/codedchalk/codedchalk.com/ios.html	(from https://codedchalk.com/)
13:50:27	20000/20000	---M-Z	200	added ('OK')	text/html	etag:%224e20-60892997-567c7446759d6fd8;gz%22	https://codedchalk.com/android.html	D:/codedchalk/codedchalk.com/android.html	(from https://codedchalk.com/)
13:50:27	20995/20995	---M-Z	200	added ('OK')	text/html	etag:%225203-608a9cd6-5bffb18c7fe7d296;gz%22	https://codedchalk.com/dotnet.html	D:/codedchalk/codedchalk.com/dotnet.html	(from https://codedchalk.com/)
13:50:28	19721/19721	---M-Z	200	added ('OK')	text/html	etag:%224d09-608a9cf7-ddf3d59c14ac1054;gz%22	https://codedchalk.com/frontenddevelopment.html	D:/codedchalk/codedchalk.com/frontenddevelopment.html	(from https://codedchalk.com/)
13:50:28	84280/84280	---M-Z	200	added ('OK')	application/javascript	etag:%2214938-60685e3a-b3a0c8fb0a3811b5;gz%22	https://codedchalk.com/js/jquery.min.js	D:/codedchalk/codedchalk.com/js/jquery.min.js	(from https://codedchalk.com/)
13:50:28	17294/17294	---M-Z	200	added ('OK')	application/javascript	etag:%22438e-60685e3a-277e3adbcc046bc9;gz%22	https://codedchalk.com/js/ScrollMagic/2.0.5/ScrollMagic.min.js	D:/codedchalk/codedchalk.com/js/ScrollMagic/2.0.5/ScrollMagic.min.js	(from https://codedchalk.com/)
13:50:29	7123/7123	---M-Z	200	added ('OK')	application/javascript	etag:%221bd3-60685e3a-d194294fdc64722b;gz%22	https://codedchalk.com/js/ScrollMagic/2.0.5/plugins/debug.addIndicators.min.js	D:/codedchalk/codedchalk.com/js/ScrollMagic/2.0.5/plugins/debug.addIndicators.min.js	(from https://codedchalk.com/)
13:50:29	1289/1289	---M-Z	200	added ('OK')	application/javascript	etag:%22509-60685e3a-b4638a2b09cbe65b;gz%22	https://codedchalk.com/js/ScrollMagic/2.0.5/plugins/animation.gsap.min.js	D:/codedchalk/codedchalk.com/js/ScrollMagic/2.0.5/plugins/animation.gsap.min.js	(from https://codedchalk.com/)
